"","vm1r","vm2r","vm1c","vm2c","rt","thr","activedurationvm1","avm1","bwrxvm1","bwtxvm1","uvm1","memcommitedvm1","memresidentvm1","netusagerxvm1","netusagetxvm1","qvm1","quvm1","queuestatusvm1","stealvm1","activedurationvm2","avm2","bwrxvm2","bwtxvm2","uvm2","memcommitedvm2","memresidentvm2","netusagerxvm2","netusagetxvm2","qvm2","quvm2","queuestatusvm2","stealvm2"
1,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
2,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
3,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
4,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
5,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
6,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
7,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
8,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
9,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
10,1,1,1,1,7999,1,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0,4,1,0,0,0.99,0,0,0,0,1500000,1,0,0
11,999,999,999,999,233,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
12,999,999,999,999,233,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
13,999,999,999,999,233,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
14,999,999,999,999,233,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
15,999,999,999,999,228,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
16,999,999,999,999,228,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
17,999,999,999,999,222,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
18,999,999,999,999,222,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
19,999,999,999,999,230,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
20,999,999,999,999,230,100,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
21,10,10,10,10,5819.42,26.75,2.75,0.61,4017145.42,4101904.25,0.28,18.76,0.00,30.03,30.83,2480.80,0.04,0.02,0.00,2.13,0.52,3492758.79,3554688.68,0.28,22.18,0.00,26.40,27.30,3521.56,0.07,0.02,0.00
22,10,10,10,10,5947.00,28.00,2.85,0.63,4093331.80,4117833.60,0.28,19.45,0.00,30.85,31.10,2510.69,0.04,0.02,0.00,2.23,0.54,3647687.18,3668555.50,0.28,22.74,0.00,27.55,27.77,3643.00,0.07,0.02,0.00
23,10,10,10,10,6935.95,26.13,1.47,0.36,10476336.13,10917139.25,0.24,19.11,0.00,79.38,79.49,1107.08,0.01,0.02,0.08,1.54,0.44,8980378.91,8984390.78,0.21,22.37,0.00,68.23,69.78,0.00,0.00,0.00,0.00
24,10,10,10,10,6944.00,27.00,1.50,0.37,10857316.45,10936248.77,0.24,19.86,0.00,82.50,83.14,1145.16,0.01,0.02,0.08,1.60,0.44,9182771.72,9247240.28,0.22,23.15,0.00,69.76,70.32,0.00,0.00,0.00,0.00
25,10,10,10,10,6523.76,25.71,2.12,0.40,17932825.74,18245703.78,0.23,18.72,0.00,142.95,137.11,0.00,0.00,0.00,0.00,2.88,0.98,9920694.61,9899432.06,0.22,21.95,0.00,75.13,77.38,171.92,0.01,0.02,0.07
26,10,10,10,10,6579.00,27.00,2.18,0.41,18785612.35,18924527.29,0.24,19.61,0.00,143.12,144.24,0.00,0.00,0.00,0.00,3.00,0.99,10216309.37,10289179.23,0.23,23.10,0.00,77.70,78.30,172.09,0.01,0.02,0.07
27,10,10,10,10,6380.87,26.43,2.39,0.47,21380034.62,22172061.46,0.24,18.75,0.00,175.85,177.49,0.00,0.00,0.00,0.00,2.65,0.96,11474258.53,12001918.12,0.23,23.35,0.00,86.46,90.80,12.85,0.01,0.02,0.06
28,10,10,10,10,6517.00,27.00,2.44,0.49,22242273.33,22409725.33,0.25,19.44,0.00,179.35,180.76,0.00,0.00,0.00,0.00,2.72,0.97,11926193.50,12013250.53,0.24,23.53,0.00,90.66,91.44,13.52,0.01,0.02,0.06
29,10,10,10,50,5381.53,27.68,2.04,0.50,3485423.34,3526625.17,0.24,18.89,0.00,27.51,27.62,2301.16,0.02,0.03,0.04,0.96,0.34,2653391.08,2656953.13,0.04,22.94,0.00,20.06,20.03,2687.54,0.06,-0.14,0.00
30,10,10,10,50,5660.00,28.00,2.09,0.51,3667876.14,3691121.23,0.24,19.45,0.00,27.64,27.73,2332.26,0.02,0.03,0.05,1.00,0.34,2663296.68,2678931.03,0.04,23.03,0.00,20.10,20.23,2748.86,0.07,-0.15,0.00
